order,start_day,name,place,image,,,,
0,1125,入寮式,食堂PC前,images/1125/入寮式.jpg,,,,
1,1125,利き口噛み酒,食堂,images/1125/効き口かみ酒.jpg,,,,
2,1125,署名集めバトル,京大構内,images/1125/署名集めバトル.jpg,,,,
3,1125,卒業式のコスプレ,食堂,images/1125/卒業式のコスプレを考えよう.jpg,,,,
4,1125,五山送り火,熊野寮,images/1125/五山送り火.jpg,,,,
5,1125,カラオケの７５点チャレンジ,ジャジャーンカラ京大BOX店,images/1125/カラオケの７５点チャレンジ.jpg,,,,
6,1125,時計〇占拠,クスノキ前,images/1125/時計〇占拠.jpg,,,,
7,1125,熊野寮D棟コンパ,熊野寮D棟（旧称時計台前）,images/1125/熊野寮D棟コンパ.jpg,,,,
8,1125,時計台編入,時計台,images/1125/時計台編入.jpg,,,,
9,1125,リコリコ鑑賞会,食北(スクリーンを使いたい),images/1125/リコリコ鑑賞会.jpg,,,,
10,1125,編み込みしよ,食堂,images/1125/編み込みしよ.jpg,,,,
11,1125,脳みそケーキを食べよう,食堂,images/1125/脳みそケーキを食べよう.jpg,,,,
12,1125,自転車塗装の会,駐輪場,images/1125/自転車塗装の会.jpg,,,,
13,1125,民青池シャトルラン,民青池,images/1125/民青池シャトルラン.jpg,,,,
14,1125,飯テロ耐久,食堂,images/1125/飯テロ耐久.jpg,,,,
15,1125,麻将皇帝戦,食北,images/1125/麻将皇帝戦.jpg,,,,
16,1125,リアルタイムバトル麻雀,食堂,images/1125/リアルタイムバトル麻雀.jpg,,,,
17,1125,ビギナーズラック麻雀対決,食堂,images/1125/ビギナーズラック麻雀対決.jpg,,,,
18,1125,耐久CLUBKUMANO,鉄扉,images/1125/耐久CLUBKUMANO.jpg,,,,
19,1125,エクストリーム帰寮,ロビー,images/1125/エクストリーム帰寮.jpg,,,,
20,1125,着ぐるみ買うぞ！,ドンキ,images/1125/着ぐるみ買うぞ！.jpg,,,,
21,1125,ダイオードおじさんに逆耐電圧をかける,吉田南北門,images/1125/ダイオードおじさんに逆耐電圧をかける.jpg,,,,
22,1125,直径３ｍのピザを作ろう,クスノキ前,images/1125/直径３ｍのピザを作ろう.jpg,,,,
23,1125,弾圧警備員と遊ぼう！！,時計台,images/1125/弾圧警備員と遊ぼう！！.jpg,,,,
24,1125,巨大な物を持って構内歩く,京大構内,images/1125/巨大な物を持って構内歩く.jpg,,,,
25,1126,エクストリーム官僚,大阪梅田の丸ビル,images/1126/エクストリーム官僚.jpg,,,,
26,1126,辛さ自慢,食堂,images/1126/辛さ自慢.jpg,,,,
27,1126,SDGs対偶,どこでも,images/1126/SDGs対偶.jpg,,,,
28,1126,100m走,熊野寮西側の道路,images/1126/100m走.jpg,,,,
29,1126,熊辞雲,食堂,images/1126/熊辞雲.jpg,,,,
30,1126,flump of chicken,どこでも,images/1126/flump of chicken.jpg,,,,
31,1126,永久機関の開発を手伝う,中庭,images/1126/永久機関の開発を手伝う.jpg,,,,
32,1126,今年こそチャンダーランチで得するまでナン食べる,チャンダー,images/1126/今年こそチャンダーランチで得するまでナン食べる.jpg,,,,
33,1126,虹になろう,食堂または食北,images/1126/虹になろう.jpg,,,,
34,1126,部屋番号トランプ,食堂,images/1126/部屋番号トランプ.jpg,,,,
35,1126,MUC10周年記念ライブ,熊野寮音楽室,images/1126/MUC10周年記念ライブ.jpg,,,,
36,1126,ボヘミアン公演,食北,images/1126/ボヘミアン公演.jpg,,,,
37,1126,45秒で何ができる？,食堂,images/1126/45秒で何ができる？.jpg,,,,
38,1126,動物園と連帯,京都市動物園,images/1126/動物園と連帯.jpg,,,,
39,1126,無印の不揃いバウム全部食う,食堂,images/1126/無印の不揃いバウム全部食う.jpg,,,,
40,1126,放課後ファンタジー,三条,images/1126/放課後ファンタジー.jpg,,,,
41,1126,ギャンブルおでん,ロビー周辺,images/1126/ギャンブルおでん.jpg,,,,
42,1126,同釜会,食堂,images/1126/同釜会.jpg,,,,
43,1126,殴る、蹴る。,どこでも,images/1126/殴る、蹴る。.jpg,,,,
44,1126,ゴママヨクイズ,食堂？,images/1126/ゴママヨクイズ.jpg,,,,
45,1126,吉田山かくれんぼ,吉田山,images/1126/吉田山かくれんぼ.jpg,,,,
46,1126,理・農学部コンパ,食堂,images/1126/理・農学部コンパ.jpg,,,,
47,1126,テキーラであそぼ,食堂,images/1126/テキーラであそぼ.jpg,,,,
48,1126,ワインオセロ,食堂,images/1126/ワインオセロ.jpg,,,,
49,1126,マッドハニー,鉄扉,images/1126/マッドハニー.jpg,,,,
50,1127,深夜アニメのCMやる,食堂orロビー,images/1127/深夜アニメのCMやる.jpg,,,,
51,1127,職質ＲＴＡ,どこでも,images/1127/職質ＲＴＡ.jpg,,,,
52,1127,平沢唯生誕祭,どこでも,images/1127/平沢唯生誕祭.jpg,,,,
53,1127,女装ナンパ待ち,どこでも,images/1127/女装ナンパ待ち.jpg,,,,
54,1127,蹴り落とし合いマリオ,食堂,images/1127/蹴り落とし合いマリオ.jpg,,,,
55,1127,バトル将棋,どこでも,images/1127/バトル将棋.jpg,,,,
56,1127,詰将棋,食堂,images/1127/詰将棋.jpg,,,,
57,1127,エクストリーム鴨川レース,鴨川,images/1127/エクストリーム鴨川レース.jpg,,,,
58,1127,マジカルミライ上映会,食堂北部,images/1127/マジカルミライ上映会.jpg,,,,
59,1127,逆大喜利,食堂,images/1127/逆大喜利.jpg,,,,
60,1127,落ち葉掃除バトル,熊野寮周辺,images/1127/落ち葉掃除バトル.jpg,,,,
61,1127,ABクラスター間綱引き,桂キャンパス,images/1127/ABクラスター間綱引き.jpg,,,,
62,1127,本気のドッジボール,グラウンド,images/1127/本気のドッジボール.jpg,,,,
63,1127,オタク早歩き大会,食堂,images/1127/オタク早歩き大会.jpg,,,,
64,1127,宇都宮高校の素晴らしき伝統,中庭,images/1127/宇都宮高校の素晴らしき伝統.jpg,,,,
65,1127,北野高校の悪しき伝統,中庭,images/1127/北野高校の悪しき伝統.jpg,,,,
66,1127,ケーキコンパ,食堂南部,images/1127/ケーキコンパ.jpg,,,,
67,1127,リアルゲーム理論,食堂,images/1127/リアルゲーム理論.jpg,,,,
